"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3693","Verify Makeup category navigation","firefox","2026-06-05","passed","2026-06-05","Brand & Category Navigation Module","navigation_testing/navigation.spec.js","",""
"","4154","Verify mobile layout body content is visible","firefox","2026-06-05","passed","2026-06-05","Responsive UI Module","responsive_testing/responsive.spec.js","",""
"","1616","Verify product detail page loads successfully","chromium","2026-06-05","passed","2026-06-05","Product Recommendation Module","recommendation_testing/recommendation.spec.js","",""
"","3361","Verify account page loads without crash for guest user","firefox","2026-06-05","passed","2026-06-05","User Account and Profile Management Module","account_testing/account.spec.js","",""
"","4630","Verify categories menu visibility","webkit","2026-06-05","passed","2026-06-05","Brand & Category Navigation Module","navigation_testing/navigation.spec.js","",""
"","2683","Verify wishlist icon visibility on product detail page","webkit","2026-06-05","passed","2026-06-05","Wishlist Management Module","wishlist_testing/wishlist.spec.js","",""
"","2364","Verify account page loads without crash for guest user","chromium","2026-06-05","passed","2026-06-05","User Account and Profile Management Module","account_testing/account.spec.js","",""
"","3149","Verify empty wishlist message visibility","firefox","2026-06-05","passed","2026-06-05","Wishlist Management Module","wishlist_testing/wishlist.spec.js","",""
"","1591","Verify product images visibility","firefox","2026-06-05","passed","2026-06-05","Homepage Validation Module","homepage_testing/homepage.spec.js","",""
"","3970","Verify tablet page URL remains valid","firefox","2026-06-05","passed","2026-06-05","Responsive UI Module","responsive_testing/responsive.spec.js","",""
"","6238","Verify wishlist button visibility","firefox","2026-06-05","passed","2026-06-05","Product Details Module","product_testing/product.spec.js","",""
"","5822","Verify product price visibility","firefox","2026-06-05","passed","2026-06-05","Product Details Module","product_testing/product.spec.js","",""
"","3416","Verify empty wishlist message visibility","chromium","2026-06-05","passed","2026-06-05","Wishlist Management Module","wishlist_testing/wishlist.spec.js","",""
"","6419","Verify Nykaa homepage loads for account module","chromium","2026-06-05","passed","2026-06-05","User Account and Profile Management Module","account_testing/account.spec.js","",""
"","4620","Verify guest checkout shows login or cart related content","firefox","2026-06-05","passed","2026-06-05","Module 8 - Checkout Validation","checkout_testing/checkout.spec.js","",""
"","3098","Verify eyeliner search result loads","webkit","2026-06-05","passed","2026-06-05","Search Module","search_testing/search.spec.js","",""
"","3461","Verify search results page visibility","firefox","2026-06-05","passed","2026-06-05","Search Module","search_testing/search.spec.js","",""
"","1261","Verify Add to Bag related text is available","firefox","2026-06-05","passed","2026-06-05","Cart Module","cart_testing/cart.spec.js","",""
"","1501","Verify Shop by Category visibility","chromium","2026-06-05","passed","2026-06-05","Homepage Validation Module","homepage_testing/homepage.spec.js","",""
"","5352","Verify bestseller tag visibility","firefox","2026-06-05","passed","2026-06-05","Product Details Module","product_testing/product.spec.js","",""
"","2822","Verify sign in prompt visibility for guest users","chromium","2026-06-05","passed","2026-06-05","Wishlist Management Module","wishlist_testing/wishlist.spec.js","",""
"","2790","Verify mobile page URL remains valid","chromium","2026-06-05","passed","2026-06-05","Responsive UI Module","responsive_testing/responsive.spec.js","",""
"","4202","Verify account flow using test steps","firefox","2026-06-05","passed","2026-06-05","User Account and Profile Management Module","account_testing/account.spec.js","",""
"","2143","Verify desktop layout body content is visible","webkit","2026-06-05","passed","2026-06-05","Responsive UI Module","responsive_testing/responsive.spec.js","",""
"","4588","Verify checkout page loads successfully","webkit","2026-06-05","passed","2026-06-05","Module 8 - Checkout Validation","checkout_testing/checkout.spec.js","",""
"","4005","Verify back navigation after product search","firefox","2026-06-05","passed","2026-06-05","Search Module","search_testing/search.spec.js","",""
"","1261","Verify recommendation page with polling assertion","chromium","2026-06-05","passed","2026-06-05","Product Recommendation Module","recommendation_testing/recommendation.spec.js","",""
"","2984","Verify wishlist page body contains content","firefox","2026-06-05","passed","2026-06-05","Wishlist Management Module","wishlist_testing/wishlist.spec.js","",""
"","5146","Verify product image visibility","webkit","2026-06-05","passed","2026-06-05","Product Details Module","product_testing/product.spec.js","",""
"","5105","Verify checkout page using soft assertions","firefox","2026-06-05","passed","2026-06-05","Module 8 - Checkout Validation","checkout_testing/checkout.spec.js","",""
"","2457","Verify wishlist icon visibility on product detail page","chromium","2026-06-05","passed","2026-06-05","Wishlist Management Module","wishlist_testing/wishlist.spec.js","",""
"","2600","Verify empty wishlist message visibility","webkit","2026-06-05","passed","2026-06-05","Wishlist Management Module","wishlist_testing/wishlist.spec.js","",""
"","1725","Verify popular brands visibility","chromium","2026-06-05","passed","2026-06-05","Brand & Category Navigation Module","navigation_testing/navigation.spec.js","",""
"","3868","Verify responsive page refresh works","webkit","2026-06-05","passed","2026-06-05","Responsive UI Module","responsive_testing/responsive.spec.js","",""
"","800","Verify recommendation flow using test steps","chromium","2026-06-05","passed","2026-06-05","Product Recommendation Module","recommendation_testing/recommendation.spec.js","",""
"","3190","Verify filter section visibility","webkit","2026-06-05","passed","2026-06-05","Search Module","search_testing/search.spec.js","",""
"","3472","Verify filter section visibility","firefox","2026-06-05","passed","2026-06-05","Search Module","search_testing/search.spec.js","",""
"","2411","Verify account page using soft assertions","chromium","2026-06-05","passed","2026-06-05","User Account and Profile Management Module","account_testing/account.spec.js","",""
"","893","Verify cart page visibility with polling assertion","chromium","2026-06-05","passed","2026-06-05","Module 8 - Checkout Validation","checkout_testing/checkout.spec.js","",""
"","2331","Verify account page asks guest user to sign in","firefox","2026-06-05","passed","2026-06-05","User Account and Profile Management Module","account_testing/account.spec.js","",""
"","4197","Verify checkout page refresh works successfully","firefox","2026-06-05","passed","2026-06-05","Module 8 - Checkout Validation","checkout_testing/checkout.spec.js","",""
"","2637","Verify invalid login input does not crash page","webkit","2026-06-05","passed","2026-06-05","User Account and Profile Management Module","account_testing/account.spec.js","",""
"","5163","Verify desktop page URL remains valid","webkit","2026-06-05","passed","2026-06-05","Responsive UI Module","responsive_testing/responsive.spec.js","",""
"","1799","Verify Add to Bag related text is available","webkit","2026-06-05","passed","2026-06-05","Cart Module","cart_testing/cart.spec.js","",""
"","1532","Verify cart page in mobile viewport","webkit","2026-06-05","passed","2026-06-05","Module 8 - Checkout Validation","checkout_testing/checkout.spec.js","",""
"","3635","Verify product title visibility","chromium","2026-06-05","passed","2026-06-05","Product Details Module","product_testing/product.spec.js","",""
"","2164","Verify homepage URL is valid","webkit","2026-06-05","passed","2026-06-05","Cart Module","cart_testing/cart.spec.js","",""
"","2112","Verify recommendation page on tablet viewport","firefox","2026-06-05","passed","2026-06-05","Product Recommendation Module","recommendation_testing/recommendation.spec.js","",""
"","1863","Verify desktop layout body content is visible","firefox","2026-06-05","passed","2026-06-05","Responsive UI Module","responsive_testing/responsive.spec.js","",""
"","2104","Verify cart module works in tablet viewport","firefox","2026-06-05","passed","2026-06-05","Cart Module","cart_testing/cart.spec.js","",""
"","5718","Verify product title visibility","webkit","2026-06-05","passed","2026-06-05","Product Details Module","product_testing/product.spec.js","",""
"","4847","Verify product image visibility","firefox","2026-06-05","passed","2026-06-05","Product Details Module","product_testing/product.spec.js","",""
"","1636","Verify cart page in tablet viewport","webkit","2026-06-05","passed","2026-06-05","Module 8 - Checkout Validation","checkout_testing/checkout.spec.js","",""
"","4548","Verify desktop page URL remains valid","firefox","2026-06-05","passed","2026-06-05","Responsive UI Module","responsive_testing/responsive.spec.js","",""
"","4385","Verify responsive page using soft assertions","firefox","2026-06-05","passed","2026-06-05","Responsive UI Module","responsive_testing/responsive.spec.js","",""
"","2436","Verify account page with polling assertion","firefox","2026-06-05","passed","2026-06-05","User Account and Profile Management Module","account_testing/account.spec.js","",""
"","2543","Verify wishlist page URL contains wishlist","chromium","2026-06-05","passed","2026-06-05","Wishlist Management Module","wishlist_testing/wishlist.spec.js","",""
